CaseNumber,Subject,Description,Product,Country,Priority,Status,CreatedDate
00005061,Backlight bleeding on Lumina 43,"Dear customer service, My new Lumina 43 LED has a cluster of dead pixels in the top-right corner, visible on bright scenes. It was delivered two weeks ago, order ORD-2026-55676. I would like an exchange. Best, Anna Example (anna.example@fakemail.test)","Lumina 43"" LED TV",Italy,High,In Progress,2026-04-07
00005062,Camera battery life much worse than advertised,"Good morning, The spec sheet promises 400 shots per charge but I barely get 120 before the X200 dies. Firmware is up to date. Order ORD-2026-70649. Could this be a hardware fault? Kind regards, Frank Fictional (frank.fictional@notreal.test)",AeroSnap X200 Camera,France,High,In Progress,2026-04-08
00005063,How do I connect the soundbar to my TV?,"Hello support team, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Erika Fiktiv",SoundWave Bar 300,Poland,Low,Closed,2026-04-09
00005064,Which water filter do I need?,"Good morning, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Anna Example",BrewMaster Coffee Machine,Sweden,Low,Closed,2026-04-09
00005065,Thank you + one small question,"Hello support team, First of all, I love my new AeroSnap X200 Camera — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Bob Sample",SoundWave Bar 300,Spain,Low,Closed,2026-04-12
00005066,Screen has a vertical line,"Dear customer service, My new Lumina 43 LED has a cluster of dead pixels in the top-right corner, visible on bright scenes. It was delivered two weeks ago, order ORD-2026-93070. I would like an exchange. Best, Greta Testcase (greta.testcase@demo-inbox.test)","Lumina 43"" LED TV",Spain,High,In Progress,2026-04-13
00005067,Charged twice for one order,"Hello support team, I was charged twice for order ORD-2026-36350 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0145-7952. Erika Fiktiv",FrostCore Fridge-Freezer,Italy,High,In Progress,2026-04-16
00005068,Vacuum loses suction after 10 minutes,"I am extremely frustrated with this product. My CycloneVac V8 loses almost all suction after about ten minutes of use. I have cleaned the filters as described in the manual. Serial SN-544356, purchased in January. What are my options? Henk Voorbeeld",CycloneVac V8,United Kingdom,Medium,Closed,2026-04-20
00005069,How do I connect the soundbar to my TV?,"Hi there, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Frank Fictional",SoundWave Bar 300,Germany,Low,Closed,2026-04-22
00005070,Battery drains even when camera is off,"Hi there, The spec sheet promises 400 shots per charge but I barely get 120 before the X200 dies. Firmware is up to date. Order ORD-2026-12385. Could this be a hardware fault? Kind regards, Bob Sample (bob.sample@demo-inbox.test)",AeroSnap X200 Camera,Spain,Medium,Closed,2026-04-28
00005071,Refund not received,"Hi there, I was charged twice for order ORD-2026-30092 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0155-9904. David Demo",CycloneVac V8,Spain,Medium,In Progress,2026-04-29
00005072,Refund still not processed,"Dear customer service, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-78748. Could you check the status? Regards, Henk Voorbeeld, henk.voorbeeld@fakemail.test",CycloneVac V8,France,Medium,Escalated,2026-04-30
00005073,Bluetooth pairing help,"Hi there, I am trying to pair the AeroSnap Mini with the companion app on my phone but it never appears in the device list. Both Bluetooth and WiFi are on. What am I missing? Thanks, Erika Fiktiv (erika.fiktiv@beispiel.test)",AeroSnap Mini,Netherlands,Low,Escalated,2026-05-01
00005074,Camera battery life much worse than advertised,"Hello support team, I bought the AeroSnap X200 a few months ago and the battery drains from full to empty overnight even when the camera is switched off. I already bought a second battery and it does the same. Is this a known issue? Best, Greta Testcase",AeroSnap X200 Camera,France,Low,In Progress,2026-05-03
00005075,Thank you + one small question,"Dear customer service, First of all, I love my new AeroSnap X200 Camera — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! David Demo",SoundWave Bar 300,Sweden,Low,In Progress,2026-05-04
00005076,Refund not received,"Good morning, I was charged twice for order ORD-2026-29626 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0149-6831. Anna Example","Lumina 43"" LED TV",Netherlands,Medium,Closed,2026-05-06
00005077,Burning smell from vacuum motor,"I am extremely frustrated with this product. My CycloneVac V8 loses almost all suction after about ten minutes of use. I have cleaned the filters as described in the manual. Serial SN-919027, purchased in January. What are my options? Frank Fictional",CycloneVac V8,France,Medium,Closed,2026-05-07
00005078,How to descale the coffee machine,"Good morning, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, Erika Fiktiv",BrewMaster Coffee Machine,Netherlands,Low,Closed,2026-05-09
00005079,Thank you + one small question,"Good morning, First of all, I love my new AeroSnap X200 Camera — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Erika Fiktiv",SoundWave Bar 300,Poland,Low,Escalated,2026-05-11
00005080,AeroSnap X200 shuts down at 40% battery,"Hi there, The spec sheet promises 400 shots per charge but I barely get 120 before the X200 dies. Firmware is up to date. Order ORD-2026-42344. Could this be a hardware fault? Kind regards, Anna Example (anna.example@fakemail.test)",AeroSnap X200 Camera,France,Medium,Closed,2026-05-16
00005081,AeroSnap X200 shuts down at 40% battery,"I have been a loyal customer for years and this is how I am treated? My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. Frank Fictional",AeroSnap X200 Camera,United Kingdom,Medium,Escalated,2026-05-21
00005082,"Great product, quick question about accessories","Good morning, First of all, I love my new AeroSnap X200 Camera — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! Anna Example",SoundWave Bar 300,Italy,Low,Escalated,2026-05-21
00005083,Invoice needed for my order,"Dear customer service, I was charged twice for order ORD-2026-22351 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0174-3501. Erika Fiktiv",CycloneVac V8,United Kingdom,Medium,Closed,2026-05-22
00005084,Refund still not processed,"Dear customer service, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-19142. Could you check the status? Regards, Greta Testcase, greta.testcase@demo-inbox.test",CycloneVac V8,Netherlands,Medium,In Progress,2026-05-23
00005085,AeroSnap X200 shuts down at 40% battery,"Hello support team, I bought the AeroSnap X200 a few months ago and the battery drains from full to empty overnight even when the camera is switched off. I already bought a second battery and it does the same. Is this a known issue? Best, Greta Testcase",AeroSnap X200 Camera,Netherlands,Low,In Progress,2026-05-24
00005086,Software update 3.2 broke my TV,Honestly unacceptable for a product at this price point. Update 3.2 has effectively bricked my Lumina OLED. The screen freezes within minutes of turning it on. I want a fix or a replacement immediately. You can reach me at +49-555-0177-7204. Erika Fiktiv,"Lumina 65"" OLED TV",France,High,In Progress,2026-05-25
00005087,Lumina OLED unresponsive since update 3.2,I am extremely frustrated with this product. Update 3.2 has effectively bricked my Lumina OLED. The screen freezes within minutes of turning it on. I want a fix or a replacement immediately. You can reach me at +49-555-0192-2255. Greta Testcase,"Lumina 65"" OLED TV",United Kingdom,High,New,2026-05-25
00005088,Refund still not processed,"Dear customer service, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-33177. Could you check the status? Regards, Greta Testcase, greta.testcase@demo-inbox.test",CycloneVac V8,United Kingdom,Medium,New,2026-05-28
00005089,Question about wall mounting,"Hi there, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Greta Testcase",SoundWave Bar 300,Germany,Low,Closed,2026-05-29
00005090,How to transfer photos via WiFi,"Dear customer service, I am trying to pair the AeroSnap Mini with the companion app on my phone but it never appears in the device list. Both Bluetooth and WiFi are on. What am I missing? Thanks, Carla Placeholder (carla.placeholder@notreal.test)",AeroSnap Mini,Italy,Low,Closed,2026-05-29
00005091,Firmware 3.2 causes constant reboots,"Dear customer service, My Lumina 55 OLED installed firmware update v3.2 automatically last night and now it freezes on the home screen every few minutes. I have tried unplugging it for 10 minutes as suggested in the manual but the problem persists. Serial number SN-966858. Please advise. Regards, Carla Placeholder","Lumina 65"" OLED TV",Italy,High,New,2026-05-30
00005092,Refund still not processed,"Hello support team, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-81649. Could you check the status? Regards, Greta Testcase, greta.testcase@demo-inbox.test",CycloneVac V8,Sweden,Medium,In Progress,2026-06-01
00005093,Software update 3.2 broke my TV,I am extremely frustrated with this product. Update 3.2 has effectively bricked my Lumina OLED. The screen freezes within minutes of turning it on. I want a fix or a replacement immediately. You can reach me at +49-555-0156-1024. Carla Placeholder,"Lumina 65"" OLED TV",Italy,High,Closed,2026-06-03
00005094,Thank you + one small question,"Hi there, First of all, I love my new AeroSnap X200 Camera — great sound and easy setup. One question: which subwoofer models are compatible? Keep up the good work! David Demo",SoundWave Bar 300,Poland,Low,Escalated,2026-06-05
00005095,How do I connect the soundbar to my TV?,"Dear customer service, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Bob Sample",SoundWave Bar 300,France,Low,Escalated,2026-06-05
00005096,TV stuck on logo screen after latest update,"Hi there, After the automatic software update (version 3.2) my TV gets stuck on the startup logo and never reaches the menu. A factory reset did not help. Is there a way to roll back to the previous firmware? My serial is SN-330696. Thank you, Henk Voorbeeld","Lumina 55"" OLED TV",Sweden,Medium,In Progress,2026-06-06
00005097,X200 battery drains overnight,"This is the third time I am contacting you and still no answer. My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. Bob Sample",AeroSnap X200 Camera,Sweden,Medium,Closed,2026-06-06
00005098,Invoice needed for my order,I have been a loyal customer for years and this is how I am treated? I was charged twice for order ORD-2026-84016 — two identical debits on my statement. Please refund the duplicate charge. You can reach me at +49-555-0124-8770. Frank Fictional,FrostCore Fridge-Freezer,Poland,High,In Progress,2026-06-08
00005099,Question about wall mounting,"Hi there, I recently purchased the SoundWave Bar 300 and cannot figure out how to connect it to my TV via HDMI ARC. The manual mentions a settings menu I cannot find. Could you walk me through it? Many thanks, Carla Placeholder",SoundWave Bar 300,Sweden,Low,Escalated,2026-06-09
00005100,AeroSnap X200 shuts down at 40% battery,"I have been a loyal customer for years and this is how I am treated? My X200 shuts itself down claiming empty battery while the indicator still shows 40%. This has ruined two family events already. I expect a proper solution, not another troubleshooting checklist. Frank Fictional",AeroSnap X200 Camera,France,Low,Closed,2026-06-10
00005101,Which water filter do I need?,"Dear customer service, The descaling light on my BrewMaster stays on even after I ran the descaling program twice. Am I doing something wrong, or do I need a different descaling solution? Best regards, David Demo",BrewMaster Coffee Machine,Poland,Low,Escalated,2026-06-10
00005102,Firmware 3.2 causes constant reboots,I have been a loyal customer for years and this is how I am treated? Update 3.2 has effectively bricked my Lumina OLED. The screen freezes within minutes of turning it on. I want a fix or a replacement immediately. You can reach me at +49-555-0187-1449. Erika Fiktiv,"Lumina 55"" OLED TV",United Kingdom,High,Closed,2026-06-11
00005103,BrewMaster makes loud grinding noise,"Hello support team, After about six months my BrewMaster has started leaking water from underneath every time it brews. There is a small puddle on the counter each morning. Serial SN-541593. Can this be repaired? Regards, Anna Example",BrewMaster Coffee Machine,France,Medium,New,2026-06-11
00005104,Refund still not processed,"Hi there, I returned my CycloneVac V8 on the 2nd and the return was confirmed as received, but 15 days later I still have no refund for order ORD-2026-94867. Could you check the status? Regards, Frank Fictional, frank.fictional@notreal.test",CycloneVac V8,Poland,Medium,Closed,2026-06-11
00005105,BrewMaster makes loud grinding noise,"Dear customer service, After about six months my BrewMaster has started leaking water from underneath every time it brews. There is a small puddle on the counter each morning. Serial SN-176573. Can this be repaired? Regards, Henk Voorbeeld",BrewMaster Coffee Machine,Netherlands,Medium,In Progress,2026-06-11
